"Serial.Number","Start.Time","Segment.Start.Time","Segment.Duration","UpDown.median","UpDown.mad","Degrees.median","Degrees.mad","UpDown.mean","UpDown.var","UpDown.sd","Degrees.mean","Degrees.var","Degrees.sd","Magnitude.mean","Light.mean","Light.max","Temp.mean","Temp.sumdiff","Temp.meandiff","Temp.abssumdiff","Temp.sddiff","Step.GENEAcount","Step.sd","Step.mean","Principal.Frequency.median","Principal.Frequency.mad","Principal.Frequency.GENEAratio","Principal.Frequency.sumdiff","Principal.Frequency.meandiff","Principal.Frequency.abssumdiff","Principal.Frequency.sddiff"
"027239",1462006800,"09:00:00",558,-10.5747359253818,61.0058602335388,201,31.1346,-5.04374969816477,2511.65414137646,50.1164059104049,161.899821109123,5734.15482075647,75.7242023448017,0.965024063416112,3648.37041592129,9975.14583333333,19.7112701252236,-4.2,-0.00752688172043011,10,0.0694733600025466,324,67.840161266613,69.5698924731183,2.8,0.14826,Inf,-2.7,-0.0247706422018349,22.9,0.674695536726224
"027239",1462007358,"09:09:18",197,-5.80817747712061,60.3757952057487,200,32.6172,-0.169196710066086,2384.55190235476,48.8318738362021,160.664974619289,6359.36677716772,79.7456379820722,1.07672471868892,1489.13240270728,2674.35416666667,16.8005076142132,-1.6,-0.00816326530612246,2.2,0.0557898426335653,104,73.8962279296301,62.7443017381675,2.8,0,Inf,0,0,1.4,0.0623609564462324
"027239",1462007555,"09:12:35",43,-70.5632427461535,8.04996405648264,193,17.7912,-66.0778247917232,568.287906678242,23.8387899583482,181.162790697674,3471.23477297896,58.9171857184214,0.322496940510557,1940.28003875969,2928.125,15.8255813953488,-0.300000000000001,-0.00714285714285716,0.900000000000002,0.0808276007641956,43,11.2087089942929,118.63224002951,1,0,Inf,0,0,1,0.316227766016838
"027239",1462007598,"09:13:18",129,-20.2459506999622,67.5255033882076,198,32.6172,-13.7218799901765,2907.17537454159,53.9182285923934,159.906976744186,6792.33502906977,82.4156236952058,1.0378756301206,1616.74870801034,2791.47916666667,15.5519379844961,-0.5,-0.00390625,0.5,0.0317528441283016,80,71.094840711448,73.9592216396207,2.85,0.0741300000000004,Inf,2.8,0.121739130434783,3.4,0.414461887423298
"027239",1462007727,"09:15:27",58,-71.7155784612213,10.0538003483889,199.5,17.0499,-64.7445365122773,515.19684549839,22.6979480459884,189.379310344828,3090.90623109498,55.5959191946224,0.36985429464187,1154.75826149425,1776.39583333333,15.2,0,0,0,0,58,12.834393798225,118.986032054928,1,0,Inf,0,0,0,0
"027239",1462007785,"09:16:25",146,-6.02494038175847,61.36966139652,203,20.7564,1.50993315079423,2376.03691050458,48.7446090404321,165.732876712329,5175.53504959849,71.9411916053556,1.06427767698111,1903.1475456621,3201.41666666667,14.7582191780822,-0.6,-0.00413793103448276,1.8,0.0610963061132967,84,80.7986067260673,68.6348379981194,2.9,0,Inf,-0.1,-0.00370370370370371,0.5,0.0436901809201096
"027239",1462007931,"09:18:51",39,-73.1204547265048,9.40269424165222,184,35.5824,-67.5076297351387,708.216603138876,26.6123393022649,144.410256410256,6023.93252361673,77.6139969568424,0.272342088751366,2006.14102564103,3689.4375,14.6,0,0,0,0,37,12.7514980862316,112.336496510097,1,0,Inf,0,0,0.6,0.212132034355964
"027239",1462007970,"09:19:30",150,-68.1147309089901,23.853653380717,207.5,68.9409,-43.7222041194315,2062.12600993228,45.4106376296598,176.373333333333,8179.56438478747,90.4409441834144,0.426618217801631,617.639166666667,9975.14583333333,14.842,0.300000000000001,0.00201342281879195,2.1,0.0652125409280013,104,54.0785105029371,82.8055203627596,1,1.18608,Inf,2.77555756156289e-17,9.79170087025971e-19,12.4,0.774118375482238
"027239",1462008120,"09:22:00",56,-40.9655544257439,51.9058672022759,188.5,43.7367,-28.7818103294518,2459.81222222522,49.5964940517494,178.267857142857,5586.6724025974,74.7440459340903,0.144343620517644,354.16369047619,8842.9375,15.0607142857143,0.5,0.00909090909090909,0.5,0.0481999203654147,24,99.2624139692967,49.2945168696176,0.1,0.07413,Inf,2.77555756156289e-17,3.10269214298938e-18,3.6,0.620483682299543
"027239",1462008176,"09:22:56",1038,-0.398185613062189,0.338145006744259,312,1.4826,-0.486147842417586,14.2607868834705,3.77634570497333,264.143545279383,14467.0912360206,120.279221962983,0.0191176186011481,5.77350272960822,605.145833333333,17.1274566473988,2.2,0.0021215043394407,12.6,0.0563987859823511,17,11565.707745687,1.90753282785172,8.95,9.93342,2.37704918032787,40.8,0.199024390243902,2810.6,18.9433882879445
